 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Slighe gu Sàr Mhathas" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Sultain" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Anglo-Sagson" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Aoigheachd - Teisteanais Nàiseanta" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Apocrypha" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Apocrypha agus Pseudepigrapha" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ar-a-mach na Frainge" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ar-a-mach nan Seumasach" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Arabais" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Language]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Arastotalach" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Astronìsianach" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Language]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Babachd" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Baisteach" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Baisteach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Baistich, Deisciobail Chrìosd agus Aidmheintich" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ball Pàrlamaid" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ball Pàrlamaid na h-Alba" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ball Pàrlamaid na h-Eòrpa" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ballrachd RSS" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Computing]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ban-dia Sicilia" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Beurla" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Language]" ,
